gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
2594,5.74012293,1.0000,4097,2.8662,4.5664,4064.9000,104.9147,132.11
2595,5.74012293,1.0000,4097,8.1697,19.8786,3949.0250,402.5120,132.17
2596,5.74012293,1.0000,4097,5.6639,10.7631,3989.6000,272.8130,132.22
2597,5.74012293,1.0000,4097,7.1361,13.3627,3956.0750,320.6925,132.27
2598,5.74065142,1.0000,4097,3.6069,7.9249,4027.1000,212.8174,132.32
2599,5.74065142,1.0000,4097,5.2790,9.5108,4010.9000,239.8539,132.37
2600,5.74065142,1.0000,4097,5.8073,10.4917,3977.0750,273.6894,132.42
2601,5.74065142,1.0000,4097,6.6214,9.7595,3959.9000,266.0792,132.47
2602,5.74065142,1.0000,4097,4.0030,8.1034,4022.9750,211.3269,132.52
2603,5.74065142,1.0000,4097,4.8157,10.9631,4013.4500,260.7150,132.57
2604,5.74487723,1.0000,4097,5.7819,10.9855,3985.4750,263.4471,132.63
2605,5.74487723,1.0000,4097,4.4908,7.4889,4011.5750,187.3992,132.68
2606,5.74487723,1.0000,4097,2.9216,6.2274,4057.6250,155.0077,132.73
2607,5.74487723,1.0000,4097,8.2435,16.6852,3927.7250,377.0517,132.79
2608,5.74487723,1.0000,4097,3.0212,5.8323,4052.3750,154.2219,132.84
2609,5.74487723,1.0000,4097,4.0273,7.3397,4019.9000,202.4291,132.89
2610,5.74487723,1.0000,4097,6.4247,10.5510,3971.8250,276.0905,132.95
2611,5.74487723,1.0000,4097,3.3712,6.6537,4039.1750,172.2598,133.00
2612,5.74487723,1.0000,4097,2.7270,5.5457,4068.6500,132.6172,133.05
2613,5.74487723,1.0000,4097,6.6179,10.6579,3954.8000,274.3523,133.10
2614,5.74487723,1.0000,4097,4.9983,8.1331,3998.9750,219.9671,133.15
2615,5.74487723,1.0000,4097,4.4515,9.5267,4016.9000,241.1935,133.21
2616,5.74487723,1.0000,4097,7.2246,14.0488,3953.5250,326.5992,133.26
2617,5.74487723,1.0000,4097,7.4892,13.0833,3937.7000,311.8224,133.32
2618,5.74487723,1.0000,4097,6.2317,15.4763,3986.2250,337.0226,133.37
2619,5.74487723,1.0000,4097,8.4794,14.4051,3919.9250,350.8035,133.42
2620,5.74487723,1.0000,4097,3.5810,6.7702,4033.4000,181.8643,133.47
2621,5.74487723,1.0000,4097,3.4992,6.9851,4049.0750,174.1157,133.53
2622,5.74487723,1.0000,4097,3.6556,6.4139,4037.3750,161.5357,133.58
2623,5.74487723,1.0000,4097,5.2269,9.5792,3995.6750,255.0710,133.63
2624,5.74487723,1.0000,4097,6.2410,10.8200,3966.3500,286.5942,133.69
2625,5.74487723,1.0000,4097,4.1947,8.9147,4029.8000,211.4774,133.74
2626,5.74487723,1.0000,4097,6.8728,12.8167,3966.0500,315.4501,133.79
2627,5.74487723,1.0000,4097,4.9266,9.1709,4006.5500,240.7708,133.84
2628,5.74487723,1.0000,4097,5.8477,7.8879,3991.2500,196.2924,133.89
2629,5.74487723,1.0000,4097,1.8912,5.1306,4075.8500,132.0817,133.94
2630,5.74487723,1.0000,4097,9.5681,15.2024,3881.1500,378.9381,134.00
2631,5.74487723,1.0000,4097,3.9500,6.9455,4034.7500,184.3667,134.05
2632,5.74487723,1.0000,4097,6.3361,11.8110,3970.5500,283.0016,134.10
2633,5.74487723,1.0000,4097,5.3143,11.5360,3992.1500,286.3688,134.16
2634,5.74487723,1.0000,4097,6.6832,13.4580,3967.8500,321.7456,134.21
2635,5.74487723,1.0000,4097,2.9510,4.5532,4064.4500,102.4524,134.26
2636,5.74487723,1.0000,4097,6.4571,11.8696,3969.8750,293.7854,134.32
2637,5.74487723,1.0000,4097,7.6512,14.7557,3952.8500,343.8483,134.37
2638,5.74487723,1.0000,4097,6.5856,15.0427,3969.5000,349.5109,134.42
2639,5.74487723,1.0000,4097,4.2734,9.7515,4013.1500,245.8453,134.48
2640,5.74886420,1.0000,4097,8.7125,15.3495,3915.2000,359.4951,134.53
2641,5.74886420,1.0000,4097,8.5041,13.8462,3915.1250,346.3647,134.59
2642,5.74886420,1.0000,4097,3.7240,7.1554,4035.8750,183.3914,134.64
2643,5.74886420,1.0000,4097,6.0466,10.1962,3976.5500,266.7855,134.69
2644,5.74886420,1.0000,4097,6.0078,13.2890,3985.5500,311.9744,134.74
2645,5.74886420,1.0000,4097,10.4421,19.1382,3884.9750,406.7907,134.80
2646,5.74886420,1.0000,4097,2.8970,5.3840,4056.8000,143.6931,134.85
2647,5.74886420,1.0000,4097,4.5874,7.5658,4015.7750,195.8685,134.90
2648,5.74886420,1.0000,4097,3.9834,8.5644,4029.2750,214.4967,134.96
2649,5.74886420,1.0000,4097,7.1444,13.3970,3953.5250,323.2296,135.02
2650,5.74886420,1.0000,4097,6.4731,14.0589,3968.9750,322.1687,135.07
2651,5.74886420,1.0000,4097,7.2995,13.3547,3949.8500,318.3055,135.12
2652,5.74886420,1.0000,4097,5.1167,9.6877,4002.8750,252.7646,135.18
2653,5.74886420,1.0000,4097,6.8464,11.7708,3952.6250,300.0556,135.23
2654,5.74886420,1.0000,4097,5.1591,9.8376,4004.3750,256.3800,135.28
2655,5.74886420,1.0000,4097,5.1811,10.9764,4007.3750,268.8862,135.33
2656,5.74886420,1.0000,4097,7.0984,14.1548,3966.5750,338.4540,135.38
