gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
188,5.22458032,1.0000,4097,6.4843,10.7605,3954.9500,287.6948,9.10
189,5.22458032,1.0000,4097,3.6033,7.3267,4038.6500,185.0199,9.15
190,5.22484033,1.0000,4097,6.3477,11.7926,3974.9000,287.4559,9.21
191,5.22514341,1.0000,4097,3.0823,6.2027,4051.1750,165.3814,9.26
192,5.22514341,1.0000,4097,6.4872,11.6895,3967.7750,297.5218,9.31
193,5.22514341,1.0000,4097,4.4982,9.4225,4014.1250,240.0297,9.36
194,5.22804298,1.3414,4097,5.0874,12.4308,4008.4250,281.4473,9.41
195,5.22804298,1.3414,4097,6.8226,11.3424,3970.2500,283.3847,9.47
196,5.22804298,1.3414,4097,6.8846,11.6688,3954.5750,305.7028,9.52
197,5.22804298,1.3414,4097,4.0853,6.8917,4025.3000,182.9604,9.57
198,5.22804298,1.3414,4097,4.9116,9.9754,4023.3500,229.1379,9.63
199,5.22848119,1.0000,4097,5.5624,8.7795,3980.9750,237.0137,9.68
200,5.22848119,1.0000,4097,3.1844,6.3915,4058.4500,168.7171,9.73
201,5.23772450,1.0000,4097,3.2783,6.2872,4050.4250,157.5086,9.78
202,5.23772450,1.0000,4097,4.8664,7.7327,4000.9250,209.9812,9.83
203,5.23772450,1.0000,4097,4.9595,10.0692,4001.5250,256.7077,9.88
204,5.23772450,1.0000,4097,10.0340,14.8145,3885.2750,384.7018,9.93
205,5.23772450,1.0000,4097,2.8934,5.2764,4059.7250,142.8247,9.97
206,5.23772450,1.0000,4097,5.7052,11.9179,3988.7750,298.8167,10.02
207,5.23772450,1.0000,4097,7.0139,14.0829,3949.6250,340.7894,10.07
208,5.23772450,1.0000,4097,5.0774,12.2098,4002.2750,272.5702,10.11
209,5.24059251,1.0000,4097,3.6236,6.4618,4042.4000,159.8612,10.16
210,5.24126222,1.0000,4097,3.1054,6.0327,4053.2000,154.3146,10.21
211,5.24126222,1.0000,4097,6.0938,11.8880,3975.5000,290.8747,10.25
212,5.24126222,1.0000,4097,6.5198,12.2841,3957.2000,319.7519,10.30
213,5.24126222,1.0000,4097,5.8815,8.5824,3994.1000,230.9583,10.36
214,5.24156365,1.0000,4097,4.3584,9.5611,4010.7500,247.4561,10.40
215,5.24156365,1.0000,4097,2.6207,5.5080,4060.1750,140.3346,10.45
216,5.24156365,1.0000,4097,7.7475,11.8535,3932.4500,308.4312,10.49
217,5.24156365,1.0000,4097,2.1603,4.0423,4071.5750,100.2938,10.54
218,5.24156365,1.0000,4097,4.0039,10.8265,4041.9500,236.8970,10.59
219,5.24316816,1.0000,4097,4.7851,9.5049,4018.3250,233.8206,10.63
220,5.24316816,1.0000,4097,8.2946,12.5475,3912.5750,324.2894,10.68
221,5.24474071,1.0000,4097,2.8425,4.9207,4058.5250,127.1941,10.73
222,5.24474071,1.0000,4097,5.4418,11.6757,3986.0000,286.4458,10.77
223,5.24474071,1.0000,4097,4.3674,9.3626,4019.6750,234.5719,10.82
