gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
215,0.99831586,1.0000,4097,2.6207,5.5080,4060.1750,140.3346,11.40
216,0.99831586,1.0000,4097,7.7475,11.8535,3932.4500,308.4312,11.45
217,0.99831586,1.0000,4097,2.1603,4.0423,4071.5750,100.2938,11.50
218,0.99831586,1.0000,4097,4.0039,10.8265,4041.9500,236.8970,11.56
219,0.99831856,1.0000,4097,4.7851,9.5049,4018.3250,233.8206,11.61
220,0.99831856,1.0000,4097,8.2946,12.5475,3912.5750,324.2894,11.66
221,0.99832120,1.0000,4097,2.8425,4.9207,4058.5250,127.1941,11.71
222,0.99832120,1.0000,4097,5.4418,11.6757,3986.0000,286.4458,11.77
223,0.99832120,1.0000,4097,4.3674,9.3626,4019.6750,234.5719,11.82
224,0.99832120,1.0000,4097,4.4870,8.5488,4013.2250,226.9182,11.88
225,0.99832120,1.0000,4097,4.4966,8.1221,4022.8250,210.9855,11.93
226,0.99832120,1.0000,4097,4.2421,8.4929,4014.8750,222.1709,11.98
227,0.99832120,1.0000,4097,5.9331,10.9247,3981.7250,276.7505,12.03
228,0.99832120,1.0000,4097,7.5579,13.4163,3937.4750,340.7153,12.09
229,0.99832120,1.0000,4097,6.5227,15.8339,3991.1000,320.5274,12.14
230,0.99832120,1.0000,4097,3.8682,5.9892,4037.9750,151.6713,12.20
231,0.99832120,1.0000,4097,8.6050,14.0243,3901.1000,360.9283,12.25
232,0.99832237,1.0000,4097,7.8368,16.2242,3944.8250,370.0607,12.30
233,0.99832237,1.0000,4097,5.2446,13.2200,4011.2000,272.2943,12.35
234,0.99832237,1.0000,4097,6.7862,14.7779,3961.1750,338.5650,12.40
235,0.99832237,1.0000,4097,8.6632,12.0668,3913.8500,315.6486,12.46
236,0.99832237,1.0000,4097,8.1697,18.1682,3935.3000,372.3928,12.51
237,0.99832237,1.0000,4097,8.0120,13.1019,3923.6000,338.1834,12.56
238,0.99832807,1.0000,4097,5.0683,9.3565,4000.1000,245.9435,12.61
239,0.99832807,1.0000,4097,7.8876,11.9873,3931.6250,304.8708,12.67
240,0.99832807,1.0000,4097,6.2510,12.7437,3964.4750,325.6209,12.72
241,0.99832807,1.0000,4097,5.7306,8.3090,3986.1500,214.7861,12.78
242,0.99832807,1.0000,4097,3.7695,6.9047,4030.4000,186.9209,12.83
243,0.99832807,1.0000,4097,4.1824,10.6869,4033.8500,247.4981,12.88
